supplier_id,supplier_name,supplier_phone,supplier_email,supplier_city,payment_terms
1,"Ryan, Miller and Crawford",001-238-561-4346x3354,ogrant@jones.net,Lake Robin,Net 30
2,"Castillo, Johnson and Allen",578.681.0585,oscar31@martin-roth.com,Brittanytown,Net 30
3,Hahn-Marquez,+1-126-025-0150x23964,leesarah@fuller-huffman.com,East Richardshire,Net 30
4,Baker and Sons,352.950.0066x823,rrogers@norman-martin.com,East Laura,Net 30
5,Paul-Cook,864-995-8795x434,rodney43@hanson-horn.com,West Christianmouth,Net 30
6,"Best, Powell and Griffin",839.839.1690,lewisdaniel@joseph.com,Wrightton,Net 30
7,Anderson Ltd,416-069-2449,renee90@armstrong.biz,Mcdonaldburgh,Net 30
8,Fischer Inc,+1-161-791-5207x9967,bwest@webb.com,Maryburgh,Net 30
9,Griffin LLC,143-337-7741x2569,ramirezbryan@rodriguez.com,Changberg,Net 30
10,Perez-Rivera,(810)167-2614,loretta14@skinner.net,North Ronald,Net 30
11,"Hayes, Jordan and Villegas",893.452.0140x228,beckkimberly@gibson.com,New Courtneyfurt,Net 30
12,Kelly Ltd,657.485.8457x22562,brownandrew@cordova.com,North Charles,Net 30
13,"Johnson, Lee and Callahan",+1-471-633-3702x81346,christensenjohn@collins.com,Lake Yolanda,Net 30
14,"Sellers, Nash and Palmer",908.634.0559x834,cooperwesley@long.net,Alexanderside,Net 30
15,Burns LLC,001-804-919-9802x7504,rgomez@garcia-walker.biz,Barronfort,Net 30
16,Holmes-Whitney,828-841-8203,benjamin51@scott.org,Duncanport,Net 30
17,Hale PLC,(306)547-8066x2499,markhenry@barrett.com,New Cristina,Net 30
18,"Roberts, Peterson and Gilbert",+1-591-779-3135,marymayer@patterson.info,Lake Melissa,Net 30
19,Brown Inc,279-530-9564x1326,davidduncan@moss-vasquez.com,Victorburgh,Net 30
20,Zhang-Long,+1-476-889-5685x3976,james47@nelson.biz,Lake Misty,Net 30
21,"Warren, Silva and Floyd",(929)572-6873x77597,beth94@chapman-rodriguez.biz,East Cynthia,Net 30
22,"Ramos, Ponce and Parker",033.007.7830,carla67@cox-gould.net,Meganton,Net 30
23,Cruz-Thomas,001-757-276-5794,darrellmccarthy@gaines.net,New Reginatown,Net 30
24,"Adams, Clements and Lane",+1-039-667-8497x556,smeyer@gilbert-hernandez.com,North Felicia,Net 30
25,Johnson-Fisher,+1-298-744-7485,annarandall@bailey.org,Jessicaton,Net 30
26,"Allen, Lee and Garcia",+1-984-907-1894,david97@bowman-miller.info,Kathytown,Net 30
27,Glenn-James,+1-897-625-7733x00905,jennifer52@brown.com,Ricardochester,Net 30
28,Parker-Hull,(116)537-6992,mzamora@green.com,Port Derekberg,Net 30
29,Wilson Ltd,532-744-1205,timothy11@alvarez-bailey.com,West Dennisburgh,Net 30
30,"King, Harris and Allen",7161340007,aturner@schmidt-miles.com,North Williamland,Net 30
31,"Rodgers, Johnson and Wright",(312)869-8741x62517,kristyjames@reynolds-riley.com,Nicoleshire,Net 30
32,"Austin, Summers and Wilson",001-362-005-0682,ambermarquez@cook.info,East Tonybury,Net 30
33,"Hoffman, Smith and Vargas",(234)363-9175,kevincollins@kent-cummings.info,Parrishton,Net 30
34,"Gonzalez, Fields and Craig",6862020961,bnelson@cole.net,Haleyton,Net 30
35,"Ramirez, Holloway and Reynolds",(134)164-2523x3447,asingh@thompson-carter.com,New Paula,Net 30
36,"Miller, Tucker and Moore",9126287533,cray@walters-wilson.com,West Dianashire,Net 30
37,Peterson-Jones,+1-751-134-7444x98302,vincent30@herring.biz,East Michaelfurt,Net 30
38,Mitchell-Gordon,852.479.5365x5978,mross@burke.com,East Juliefurt,Net 30
39,Simpson LLC,(672)376-2067,rachel20@hammond.com,Smithberg,Net 30
40,Elliott-Wu,(285)533-0039x39273,torresjeffrey@singh.com,Larsonville,Net 30
41,"Cunningham, Morgan and Rodriguez",+1-117-273-3498x2400,stevensoncarolyn@montes-flores.com,Tamaraport,Net 30
42,"Martin, Rodriguez and Garner",532.291.8787x455,shannonpowell@fuller-baxter.biz,Sarahport,Net 30
43,Jones LLC,336-844-4622x4659,awallace@warner-matthews.com,Matthewton,Net 30
44,"Ramirez, Thomas and Chambers",001-497-789-9775x23513,robinsonruben@rios-moss.org,West Shellyfurt,Net 30
45,Mills Inc,921-956-1835x72150,ngonzales@roberts.com,Christopherbury,Net 30
46,"Miller, Wade and Long",001-727-200-7363x3438,trujillomelissa@adams.com,New Rebecca,Net 30
47,"Jacobs, Schultz and Carlson",4077911313,williamsamanda@thomas.com,East Nicole,Net 30
48,Herrera-Kane,+1-867-780-1286,tonyclark@richards.net,West Lisa,Net 30
49,Williams LLC,001-106-626-9682,kevincarter@walton-bonilla.com,New Tiffanyberg,Net 30
50,Davis PLC,+1-850-544-1155x7505,ggibson@dalton.com,Richardmouth,Net 30
